year,district_name,district_code,subject,avg_scaled_score,sgp,n_students,participation_rate
2019,Bristol County Agricultural,9100000,ELA,501.1,39.2,         110,
2019,Bristol County Agricultural,9100000,MATH,499.1,44.6,         110,
2019,Bristol-Plymouth Regional Vocational Technical,8100000,ELA,500.3,49.1,         330,
2019,Bristol-Plymouth Regional Vocational Technical,8100000,MATH,500.9,52.1,         327,
2019,Brockton,440000,ELA,492.7,45.9,         991,
2019,Brockton,440000,MATH,487.5,41.2,         984,
2019,Brooke Charter School (District),4280000,ELA,513.3,45.3,          55,
2019,Brooke Charter School (District),4280000,MATH,515.0,43.3,          55,
2019,Brookline,460000,ELA,520.1,50.6,         506,
2019,Brookline,460000,MATH,521.3,47.8,         501,
2019,Burlington,480000,ELA,505.9,55.1,         240,
2019,Burlington,480000,MATH,505.7,49.4,         241,
2019,Cambridge,490000,ELA,506.7,42.0,         465,
2019,Cambridge,490000,MATH,507.4,51.1,         459,
2019,Canton,500000,ELA,514.3,47.5,         258,
2019,Canton,500000,MATH,514.8,55.3,         256,
2019,Cape Cod Regional Vocational Technical,8150000,ELA,497.7,49.8,         144,
2019,Cape Cod Regional Vocational Technical,8150000,MATH,495.6,53.1,         144,
2019,Carver,520000,ELA,503.5,46.7,         111,
2019,Carver,520000,MATH,502.8,62.1,         111,
2019,Central Berkshire,6350000,ELA,501.7,47.4,         138,
2019,Central Berkshire,6350000,MATH,503.7,54.4,         137,
2019,Chelmsford,560000,ELA,520.1,54.5,         378,
2019,Chelmsford,560000,MATH,519.0,61.0,         376,
2019,Chelsea,570000,ELA,486.3,49.0,         288,
2019,Chelsea,570000,MATH,485.1,49.6,         276,
2019,Chicopee,610000,ELA,499.3,44.5,         588,
2019,Chicopee,610000,MATH,496.4,38.3,         585,
2019,City on a Hill Charter Public School (District),4370000,ELA,491.6,34.2,          68,
2019,City on a Hill Charter Public School (District),4370000,MATH,490.6,40.9,          68,
2019,City on a Hill Charter Public School Dudley Square (District),35040000,ELA,484.5,24.7,          45,
2019,City on a Hill Charter Public School Dudley Square (District),35040000,MATH,490.1,43.9,          44,
2019,City on a Hill Charter Public School New Bedford (District),35070000,ELA,477.3,35.5,          49,
2019,City on a Hill Charter Public School New Bedford (District),35070000,MATH,479.7,44.3,          49,
2019,Clinton,640000,ELA,497.6,45.3,         129,
2019,Clinton,640000,MATH,495.6,50.2,         128,
2019,Codman Academy Charter Public (District),4380000,ELA,482.6,25.2,          29,
2019,Codman Academy Charter Public (District),4380000,MATH,479.0,41.7,          29,
2019,Cohasset,650000,ELA,520.8,48.6,         132,
2019,Cohasset,650000,MATH,515.4,55.4,         131,
2019,Community Charter School of Cambridge (District),4360000,ELA,514.8,51.9,          34,
2019,Community Charter School of Cambridge (District),4360000,MATH,515.7,64.4,          34,
2019,Concord-Carlisle,6400000,ELA,523.8,55.8,         309,
2019,Concord-Carlisle,6400000,MATH,523.3,62.6,         309,
2019,Danvers,710000,ELA,506.1,50.5,         231,
2019,Danvers,710000,MATH,502.0,48.2,         233,
2019,Dartmouth,720000,ELA,507.5,51.1,         258,
2019,Dartmouth,720000,MATH,509.5,47.2,         259,
2019,Dedham,730000,ELA,503.5,42.6,         184,
2019,Dedham,730000,MATH,508.6,51.4,         183,
2019,Dennis-Yarmouth,6450000,ELA,503.9,47.5,         173,
2019,Dennis-Yarmouth,6450000,MATH,502.6,57.5,         172,
2019,Dighton-Rehoboth,6500000,ELA,513.4,55.0,         211,
2019,Dighton-Rehoboth,6500000,MATH,508.2,55.1,         208,
2019,Douglas,770000,ELA,509.5,63.9,          95,
2019,Douglas,770000,MATH,501.8,46.3,          95,
2019,Dover-Sherborn,6550000,ELA,526.1,54.7,         178,
2019,Dover-Sherborn,6550000,MATH,524.7,56.4,         179,
2019,Dracut,790000,ELA,505.2,39.8,         228,
2019,Dracut,790000,MATH,504.5,46.9,         228,
2019,Dudley-Charlton Reg,6580000,ELA,504.4,38.4,         283,
2019,Dudley-Charlton Reg,6580000,MATH,506.3,49.7,         282,
2019,Duxbury,820000,ELA,521.4,69.7,         250,
2019,Duxbury,820000,MATH,517.1,64.9,         252,
2019,East Bridgewater,830000,ELA,508.1,52.9,         154,
2019,East Bridgewater,830000,MATH,505.8,40.4,         154,
2019,East Longmeadow,870000,ELA,507.4,44.3,         179,
2019,East Longmeadow,870000,MATH,505.5,50.1,         179,
2019,Easthampton,860000,ELA,501.9,59.2,         113,
2019,Easthampton,860000,MATH,500.0,51.5,         111,
2019,Easton,880000,ELA,513.5,50.3,         278,
2019,Easton,880000,MATH,511.9,43.6,         277,
2019,Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),4520000,ELA,502.6,57.6,          98,
2019,Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District),4520000,MATH,494.4,43.9,          97,
2019,Essex North Shore Agricultural and Technical School District,8170000,ELA,514.8,60.2,         352,
2019,Essex North Shore Agricultural and Technical School District,8170000,MATH,502.3,36.1,         351,
2019,Everett,930000,ELA,495.5,46.9,         421,
2019,Everett,930000,MATH,491.0,46.3,         415,
2019,Excel Academy Charter (District),4100000,ELA,505.2,44.7,         171,
2019,Excel Academy Charter (District),4100000,MATH,502.4,37.2,         170,
2019,Fairhaven,940000,ELA,507.2,49.6,         186,
2019,Fairhaven,940000,MATH,512.5,61.0,         186,
2019,Fall River,950000,ELA,492.1,39.7,         528,
2019,Fall River,950000,MATH,488.7,32.7,         520,
2019,Falmouth,960000,ELA,515.6,56.0,         196,
2019,Falmouth,960000,MATH,508.0,48.2,         195,
2019,Fitchburg,970000,ELA,492.8,40.8,         317,
2019,Fitchburg,970000,MATH,493.9,45.2,         320,
2019,Four Rivers Charter Public (District),4130000,ELA,522.1,68.7,          38,
2019,Four Rivers Charter Public (District),4130000,MATH,514.5,68.4,          38,
2019,Foxborough,990000,ELA,510.5,52.8,         188,
2019,Foxborough,990000,MATH,513.7,38.0,         187,
2019,Foxborough Regional Charter (District),4460000,ELA,513.8,53.9,          72,
2019,Foxborough Regional Charter (District),4460000,MATH,510.3,65.9,          72,
2019,Framingham,1000000,ELA,504.6,52.9,         543,
2019,Framingham,1000000,MATH,505.6,60.2,         536,
2019,Francis W. Parker Charter Essential (District),4780000,ELA,515.7,59.4,          63,
2019,Francis W. Parker Charter Essential (District),4780000,MATH,508.7,43.2,          62,
2019,Franklin,1010000,ELA,513.6,52.8,         443,
2019,Franklin,1010000,MATH,510.0,51.9,         444,
2019,Franklin County Regional Vocational Technical,8180000,ELA,496.0,47.1,         105,
2019,Franklin County Regional Vocational Technical,8180000,MATH,497.8,50.9,         105,
2019,Freetown-Lakeville,6650000,ELA,516.8,61.2,         208,
2019,Freetown-Lakeville,6650000,MATH,514.3,55.2,         207,
2019,Frontier,6700000,ELA,507.1,46.9,         110,
2019,Frontier,6700000,MATH,511.8,62.6,         110,
2019,Gardner,1030000,ELA,499.7,56.4,         149,
2019,Gardner,1030000,MATH,496.1,61.0,         143,
2019,Gateway,6720000,ELA,503.6,61.2,          56,
2019,Gateway,6720000,MATH,502.3,56.3,          56,
2019,Georgetown,1050000,ELA,518.1,58.0,          92,
2019,Georgetown,1050000,MATH,517.7,67.3,          93,
2019,Gill-Montague,6740000,ELA,509.7,58.8,          59,
2019,Gill-Montague,6740000,MATH,504.1,47.2,          59,
2019,Global Learning Charter Public (District),4960000,ELA,515.4,64.0,          25,
2019,Global Learning Charter Public (District),4960000,MATH,507.5,55.3,          25,
2019,Gloucester,1070000,ELA,500.4,47.8,         173,
2019,Gloucester,1070000,MATH,500.0,38.2,         174,
2019,Grafton,1100000,ELA,509.8,49.1,         185,
2019,Grafton,1100000,MATH,512.2,44.6,         185,
2019,Granby,1110000,ELA,508.4,69.5,          53,
2019,Granby,1110000,MATH,499.1,58.2,          54,
2019,Greater Commonwealth Virtual District,39010000,ELA,506.4,56.9,          66,
2019,Greater Commonwealth Virtual District,39010000,MATH,495.6,40.0,          64,
2019,Greater Fall River Regional Vocational Technical,8210000,ELA,506.8,57.3,         360,
2019,Greater Fall River Regional Vocational Technical,8210000,MATH,500.3,43.5,         360,
2019,Greater Lawrence Regional Vocational Technical,8230000,ELA,493.0,36.8,         391,
2019,Greater Lawrence Regional Vocational Technical,8230000,MATH,492.7,29.2,         393,
2019,Greater Lowell Regional Vocational Technical,8280000,ELA,493.9,39.0,         570,
2019,Greater Lowell Regional Vocational Technical,8280000,MATH,494.1,43.8,         571,
2019,Greater New Bedford Regional Vocational Technical,8250000,ELA,503.0,52.4,         522,
2019,Greater New Bedford Regional Vocational Technical,8250000,MATH,502.2,60.0,         522,
2019,Greenfield,1140000,ELA,496.9,46.8,          84,
2019,Greenfield,1140000,MATH,499.0,59.2,          82,
2019,Groton-Dunstable,6730000,ELA,517.4,57.6,         192,
2019,Groton-Dunstable,6730000,MATH,526.3,66.3,         192,
2019,Hadley,1170000,ELA,517.5,56.6,          39,
2019,Hadley,1170000,MATH,514.1,72.1,          39,
2019,Hamilton-Wenham,6750000,ELA,520.4,55.6,         144,
2019,Hamilton-Wenham,6750000,MATH,515.2,62.9,         144,
2019,Hampden Charter School of Science (District),4990000,ELA,516.4,61.2,          66,
2019,Hampden Charter School of Science (District),4990000,MATH,516.4,60.3,          66,
2019,Hampden-Wilbraham,6800000,ELA,512.5,45.1,         254,
2019,Hampden-Wilbraham,6800000,MATH,512.9,57.8,         252,
2019,Hampshire,6830000,ELA,515.4,62.7,         104,
2019,Hampshire,6830000,MATH,509.5,58.0,         104,
2019,Hanover,1220000,ELA,512.1,43.5,         211,
2019,Hanover,1220000,MATH,511.0,49.7,         208,
2019,Harvard,1250000,ELA,529.6,67.6,         100,
2019,Harvard,1250000,MATH,525.7,75.1,         100,
2019,Hatfield,1270000,ELA,520.9,77.0,          26,
2019,Hatfield,1270000,MATH,516.8,68.5,          24,
2019,Haverhill,1280000,ELA,498.7,46.6,         501,
2019,Haverhill,1280000,MATH,495.3,38.1,         497,
2019,Hingham,1310000,ELA,521.9,64.2,         319,
2019,Hingham,1310000,MATH,516.3,65.3,         320,
2019,Holbrook,1330000,ELA,503.6,40.9,          67,
2019,Holbrook,1330000,MATH,501.5,25.4,          66,
2019,Holliston,1360000,ELA,512.7,45.9,         199,
2019,Holliston,1360000,MATH,516.1,58.8,         198,
2019,Holyoke,1370000,ELA,487.5,40.1,         369,
2019,Holyoke,1370000,MATH,482.0,34.5,         362,
2019,Hoosac Valley Regional,6030000,ELA,502.9,42.6,          47,
2019,Hoosac Valley Regional,6030000,MATH,499.9,53.7,          45,
2019,Hopedale,1380000,ELA,521.2,61.5,          76,
2019,Hopedale,1380000,MATH,512.1,44.1,          76,
2019,Hopkinton,1390000,ELA,518.8,44.1,         319,
2019,Hopkinton,1390000,MATH,522.5,42.9,         318,
2019,Hudson,1410000,ELA,507.5,43.8,         148,
2019,Hudson,1410000,MATH,507.3,44.8,         147,
2019,Hull,1420000,ELA,512.5,48.6,          77,
2019,Hull,1420000,MATH,504.2,53.9,          76,
2019,Innovation Academy Charter (District),4350000,ELA,514.0,54.9,         100,
2019,Innovation Academy Charter (District),4350000,MATH,513.8,60.8,          98,
2019,Ipswich,1440000,ELA,508.6,54.3,         140,
2019,Ipswich,1440000,MATH,509.1,54.0,         139,
2019,KIPP Academy Lynn Charter (District),4290000,ELA,508.8,50.2,         120,
2019,KIPP Academy Lynn Charter (District),4290000,MATH,512.1,41.0,         121,
2019,King Philip,6900000,ELA,518.0,55.9,         311,
2019,King Philip,6900000,MATH,511.2,48.9,         313,
2019,Lawrence,1490000,ELA,486.2,37.0,         694,
2019,Lawrence,1490000,MATH,487.5,30.7,         678,
2019,Lee,1500000,ELA,511.3,47.1,          63,
2019,Lee,1500000,MATH,509.4,55.1,          63,
2019,Leicester,1510000,ELA,496.8,36.6,         105,
2019,Leicester,1510000,MATH,494.8,36.0,         104,
2019,Lenox,1520000,ELA,518.3,59.5,          63,
2019,Lenox,1520000,MATH,510.8,54.9,          63,
2019,Leominster,1530000,ELA,500.3,42.1,         456,
2019,Leominster,1530000,MATH,502.4,45.6,         453,
2019,Lexington,1550000,ELA,522.8,53.0,         542,
2019,Lexington,1550000,MATH,528.5,50.1,         540,
2019,Lincoln-Sudbury,6950000,ELA,521.1,55.8,         393,
2019,Lincoln-Sudbury,6950000,MATH,520.1,68.4,         394,
2019,Littleton,1580000,ELA,516.9,44.7,         115,
2019,Littleton,1580000,MATH,516.7,63.4,         114,
2019,Longmeadow,1590000,ELA,514.1,38.1,         225,
2019,Longmeadow,1590000,MATH,517.0,63.5,         226,
2019,Lowell,1600000,ELA,495.5,41.2,         752,
2019,Lowell,1600000,MATH,496.5,36.2,         734,
2019,Ludlow,1610000,ELA,508.6,65.6,         215,
2019,Ludlow,1610000,MATH,508.4,71.0,         213,
2019,Lunenburg,1620000,ELA,511.3,45.9,         122,
2019,Lunenburg,1620000,MATH,510.1,40.7,         122,
2019,Lynn,1630000,ELA,491.3,48.5,"       1,064",
2019,Lynn,1630000,MATH,492.0,41.3,"       1,055",
2019,Lynnfield,1640000,ELA,518.8,54.2,         168,
2019,Lynnfield,1640000,MATH,513.6,49.2,         169,
2019,Malden,1650000,ELA,498.4,52.3,         406,
2019,Malden,1650000,MATH,501.2,55.0,         405,
2019,Manchester Essex Regional,6980000,ELA,518.1,36.0,         118,
2019,Manchester Essex Regional,6980000,MATH,515.9,65.7,         121,
2019,Mansfield,1670000,ELA,515.1,57.4,         338,
2019,Mansfield,1670000,MATH,513.8,58.6,         337,
2019,Map Academy Charter School (District),35170000,ELA,493.2,,          25,
2019,Map Academy Charter School (District),35170000,MATH,483.4,,          25,
2019,Marblehead,1680000,ELA,516.0,54.2,         256,
2019,Marblehead,1680000,MATH,516.1,58.4,         259,
2019,Marlborough,1700000,ELA,497.4,52.1,         245,
2019,Marlborough,1700000,MATH,494.0,40.0,         248,
2019,Marshfield,1710000,ELA,516.1,52.1,         310,
2019,Marshfield,1710000,MATH,512.1,41.6,         313,
2019,Martha's Vineyard,7000000,ELA,507.0,45.4,         163,
2019,Martha's Vineyard,7000000,MATH,503.5,35.3,         158,
2019,Masconomet,7050000,ELA,511.9,53.1,         291,
2019,Masconomet,7050000,MATH,515.2,57.2,         291,
2019,Mashpee,1720000,ELA,508.5,46.2,         119,
2019,Mashpee,1720000,MATH,505.9,45.8,         121,
